V1,Treatment,Condition,Duration,Dose,narrow_group,broad_group
IFNA@Condition:B cells&Duration:12h@GSE75007.MicroArray.GPL10558,IFNA,B,12h,,,Bcell
IFNA@Condition:B cells&Duration:1h@GSE75007.MicroArray.GPL10558,IFNA,B,1h,,,Bcell
IFNA@Condition:B cells&Duration:24h@GSE75007.MicroArray.GPL10558,IFNA,B,24h,,,Bcell
IFNA@Condition:B cells&Duration:3h@GSE75007.MicroArray.GPL10558,IFNA,B,3h,,,Bcell
IFNA@Condition:B cells&Duration:48h@GSE75007.MicroArray.GPL10558,IFNA,B,48h,,,Bcell
IFNA@Condition:B cells&Duration:6h@GSE75007.MicroArray.GPL10558,IFNA,B,6h,,,Bcell
IFNA@Condition:B cells&Duration:96h@GSE75007.MicroArray.GPL10558,IFNA,B,96h,,,Bcell
IFNG@Condition:B cell@GSE111475.MicroArray.GPL10558,IFNG,B,,,,Bcell
IFNG@Condition:B cells&Duration:12h@GSE75007.MicroArray.GPL10558,IFNG,B,12h,,,Bcell
IFNG@Condition:B cells&Duration:1h@GSE75007.MicroArray.GPL10558,IFNG,B,1h,,,Bcell
IFNG@Condition:B cells&Duration:24h@GSE75007.MicroArray.GPL10558,IFNG,B,24h,,,Bcell
IFNG@Condition:B cells&Duration:3h@GSE75007.MicroArray.GPL10558,IFNG,B,3h,,,Bcell
IFNG@Condition:B cells&Duration:48h@GSE75007.MicroArray.GPL10558,IFNG,B,48h,,,Bcell
IFNG@Condition:B cells&Duration:6h@GSE75007.MicroArray.GPL10558,IFNG,B,6h,,,Bcell
IFNG@Condition:B cells&Duration:96h@GSE75007.MicroArray.GPL10558,IFNG,B,96h,,,Bcell
IL2@Condition:B cells@GSE102460.RNASeq.SRP115151_GRCh38,IL2,B,,,,Bcell
IL21@Condition:B cell@GSE111475.MicroArray.GPL10558,IL21,B,,,,Bcell
TGFB3&Dose:2.5ng/ml@Condition:B cells&Duration:20h@GSE120368.MicroArray.GPL10558,TGFB3,B,20h,2.5ng/mL,,Bcell
TGFB3&Dose:2.5ng/ml@Condition:B cells&Duration:12h@GSE120367.MicroArray.GPL10558,TGFB3,B,12h,2.5ng/mL,,Bcell
TGFB3&Dose:2.5ng/ml@Condition:B cells&Duration:14d@GSE120367.MicroArray.GPL10558,TGFB3,B,14d,2.5ng/mL,,Bcell
TGFB3&Dose:2.5ng/ml@Condition:B cells&Duration:1d@GSE120367.MicroArray.GPL10558,TGFB3,B,1d,2.5ng/mL,,Bcell
TGFB3&Dose:2.5ng/ml@Condition:B cells&Duration:1h@GSE120367.MicroArray.GPL10558,TGFB3,B,1h,2.5ng/mL,,Bcell
TGFB3&Dose:2.5ng/ml@Condition:B cells&Duration:2d@GSE120367.MicroArray.GPL10558,TGFB3,B,2d,2.5ng/mL,,Bcell
TGFB3&Dose:2.5ng/ml@Condition:B cells&Duration:3h@GSE120367.MicroArray.GPL10558,TGFB3,B,3h,2.5ng/mL,,Bcell
TGFB3&Dose:2.5ng/ml@Condition:B cells&Duration:4d@GSE120367.MicroArray.GPL10558,TGFB3,B,4d,2.5ng/mL,,Bcell
TGFB3&Dose:2.5ng/ml@Condition:B cells&Duration:6h@GSE120367.MicroArray.GPL10558,TGFB3,B,6h,2.5ng/mL,,Bcell
TGFB3&Dose:2.5ng/ml@Condition:B cells&Duration:7d@GSE120367.MicroArray.GPL10558,TGFB3,B,7d,2.5ng/mL,,Bcell
NGF&Dose:10 ng/ml_Duration:24h@Condition:Basophil@GSE64639.MicroArray.GPL10558,NGF,Basophil,24h,10ng/mL,,Granulocyte
IFNB&Dose:0.2 ng/ml_Duration:24h@Condition:BEAS-2B cells@GSE114284.RNASeq.SRP145257_GRCh38,IFNB,Beas2B,24h,0.2ng/mL,Lung_Epithelial,Epithelial
IFNL&Dose:5ng/ml_Duration:24h@Condition:BEAS-2B cells@GSE114284.RNASeq.SRP145257_GRCh38,IFNL,Beas2B,24h,5ng/mL,Lung_Epithelial,Epithelial
IL4&Dose:25 ng/ml@Condition:Blood CD14+ monocytes&Duration:6d@GSE79706.MicroArray.HG-U133_Plus_2,IL4,Blood Cd14+ Monocyte,6d,25ng/mL,,Mac_Mono
IL12&Dose:20ng/ml@Condition:Blood Tregs&Duration:4d@GSE119191.RNASeq.SRP159079_GRCh38,IL12,Blood Tregs,4d,20ng/mL,,Tcell
IFNA&Dose:10ng/ml_Duration:6h@Condition:blood vessel endothelial cell@E-MEXP-3746.MicroArray.HuEx-1_0-st-v2,IFNA,Blood Vessel Endothelial,6h,10ng/mL,,Endothelial
IL17A&Dose:10ng/ml@Condition:bronchial airway smooth muscle (ASM) cells&Duration:2h@GSE35643.MicroArray.HuGene-1_0-st-v1,IL17A,Bronchial Airway Smooth Muscle,2h,10ng/mL,,Smooth_muscle
IL13@Condition:Human bronchial cell line A549&Duration:24h@GSE3183.MicroArray.HG-U133A,IL13,Bronchial Cell Line A549,24h,,A549,Lung_tumor
IFNB&Dose:1000 U/ml@Condition:Bronchial Epithelial&Duration:0.25 h@GSE19392.MicroArray.HT_HG-U133A,IFNB,Bronchial Epithelial,0.25h,1000U/mL,Lung_Epithelial,Epithelial
IFNB&Dose:1000 U/ml@Condition:Bronchial Epithelial&Duration:0.5 h@GSE19392.MicroArray.HT_HG-U133A,IFNB,Bronchial Epithelial,0.5h,1000U/mL,Lung_Epithelial,Epithelial
IFNB&Dose:1000 U/ml@Condition:Bronchial Epithelial&Duration:1 h@GSE19392.MicroArray.HT_HG-U133A,IFNB,Bronchial Epithelial,1h,1000U/mL,Lung_Epithelial,Epithelial
IFNB&Dose:1000 U/ml@Condition:Bronchial Epithelial&Duration:1.5 h@GSE19392.MicroArray.HT_HG-U133A,IFNB,Bronchial Epithelial,1.5h,1000U/mL,Lung_Epithelial,Epithelial
IFNB&Dose:1000 U/ml@Condition:Bronchial Epithelial&Duration:12 h@GSE19392.MicroArray.HT_HG-U133A,IFNB,Bronchial Epithelial,12h,1000U/mL,Lung_Epithelial,Epithelial
IFNB&Dose:1000 U/ml@Condition:Bronchial Epithelial&Duration:18 h@GSE19392.MicroArray.HT_HG-U133A,IFNB,Bronchial Epithelial,18h,1000U/mL,Lung_Epithelial,Epithelial
IFNB&Dose:1000 U/ml@Condition:Bronchial Epithelial&Duration:2 h@GSE19392.MicroArray.HT_HG-U133A,IFNB,Bronchial Epithelial,2h,1000U/mL,Lung_Epithelial,Epithelial
IFNB&Dose:1000 U/ml@Condition:Bronchial Epithelial&Duration:4 h@GSE19392.MicroArray.HT_HG-U133A,IFNB,Bronchial Epithelial,4h,1000U/mL,Lung_Epithelial,Epithelial
IFNB&Dose:1000 U/ml@Condition:Bronchial Epithelial&Duration:6 h@GSE19392.MicroArray.HT_HG-U133A,IFNB,Bronchial Epithelial,6h,1000U/mL,Lung_Epithelial,Epithelial
IFNB&Dose:1000 U/ml@Condition:Bronchial Epithelial&Duration:8 h@GSE19392.MicroArray.HT_HG-U133A,IFNB,Bronchial Epithelial,8h,1000U/mL,Lung_Epithelial,Epithelial
TGFB1&Dose:5 ng/mL@Condition:Bronchial epithelial cells@GSE100574.RNASeq.SRP110620_GRCh38,TGFB1,Bronchial Epithelial,,5ng/mL,Lung_Epithelial,Epithelial
TNFA@Condition:Bronchial Epithelial Beas-B2@GSE16650.MicroArray.HG-U133_Plus_2,TNFA,Bronchial Epithelial Beas-B2,,,Lung_Epithelial,Epithelial
TNFA&Dose:0.1 ng/ml@Condition:bronchus epithelial cell&Duration:0.5h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,0.5h,0.1ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:1.0 ng/ml@Condition:bronchus epithelial cell&Duration:0.5h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,0.5h,1ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:10.0 ng/ml@Condition:bronchus epithelial cell&Duration:0.5h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,0.5h,10ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:100.0 ng/ml@Condition:bronchus epithelial cell&Duration:0.5h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,0.5h,100ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:0.1 ng/ml@Condition:bronchus epithelial cell&Duration:2.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,2h,0.1ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:1.0 ng/ml@Condition:bronchus epithelial cell&Duration:2.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,2h,1ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:10.0 ng/ml@Condition:bronchus epithelial cell&Duration:2.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,2h,10ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:100.0 ng/ml@Condition:bronchus epithelial cell&Duration:2.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,2h,100ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:0.1 ng/ml@Condition:bronchus epithelial cell&Duration:24.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,24h,0.1ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:1.0 ng/ml@Condition:bronchus epithelial cell&Duration:24.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,24h,1ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:10.0 ng/ml@Condition:bronchus epithelial cell&Duration:24.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,24h,10ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:100.0 ng/ml@Condition:bronchus epithelial cell&Duration:24.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,24h,100ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:0.1 ng/ml@Condition:bronchus epithelial cell&Duration:4.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,4h,0.1ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:1.0 ng/ml@Condition:bronchus epithelial cell&Duration:4.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,4h,1ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:10.0 ng/ml@Condition:bronchus epithelial cell&Duration:4.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,4h,10ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:100.0 ng/ml@Condition:bronchus epithelial cell&Duration:4.0h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,TNFA,Bronchus Epithelial,4h,100ng/mL,Lung_Epithelial,Epithelial
BMP2@Condition:CCL171&Duration:24h@GSE66108.MicroArray.GPL9257,BMP2,Ccl171,24h,,Lung_Fibroblast,Fibroblast
BMP4@Condition:CCL171&Duration:24h@GSE66108.MicroArray.GPL9257,BMP4,Ccl171,24h,,Lung_Fibroblast,Fibroblast
BMP4@Condition:CCL-171&Duration:12h@GSE66109.MicroArray.GPL19807,BMP4,Ccl171,12h,,Lung_Fibroblast,Fibroblast
BMP4@Condition:CCL-171&Duration:24h@GSE66109.MicroArray.GPL19807,BMP4,Ccl171,24h,,Lung_Fibroblast,Fibroblast
BMP4@Condition:CCL-171&Duration:3h@GSE66109.MicroArray.GPL19807,BMP4,Ccl171,3h,,Lung_Fibroblast,Fibroblast
BMP4@Condition:CCL-171&Duration:48h@GSE66109.MicroArray.GPL19807,BMP4,Ccl171,48h,,Lung_Fibroblast,Fibroblast
BMP7@Condition:CCL171&Duration:24h@GSE66108.MicroArray.GPL9257,BMP7,Ccl171,24h,,Lung_Fibroblast,Fibroblast
IGF1&Dose:50ng/ml@Condition:CCL 171 fibroblasts&Duration:24h@GSE18954.MicroArray.GPL9550,IGF1,Ccl171 Fibroblast,24h,50ng/mL,Lung_Fibroblast,Fibroblast
TGFB1@Condition:CCL210 fibroblast@GSE63659.MicroArray.GPL13667,TGFB1,Ccl210 Fibroblast,,,,Fibroblast
IL17A&Dose:200ng/mL_Duration:24h@Condition:CD14+ monocytes@GSE54884.MicroArray.HG-U133A_2,IL17A,Cd14+ Monocyte,24h,200ng/mL,,Mac_Mono
IL4&Duration:144h@Condition:CD14+ monocytes@GSE96715.RNASeq.SRP102019_GRCh38,IL4,Cd14+ Monocyte,144h,,,Mac_Mono
IL4&Duration:72h@Condition:CD14+ monocytes@GSE96715.RNASeq.SRP102019_GRCh38,IL4,Cd14+ Monocyte,72h,,,Mac_Mono
CXCL12@Condition:CD14+ Peripheral Blood Monocytes@GSE24496.MicroArray.GPL11010,CXCL12,Cd14+ Peripheral Blood Monocyte,,,,Mac_Mono
GMCSF&Duration:72h@Condition:CD14pos_monocyte@GSE96703.MicroArray.GPL6947,GMCSF,Cd14Pos_Monocyte,72h,,,Mac_Mono
MCSF&Duration:72h@Condition:CD14pos_monocyte@GSE96703.MicroArray.GPL6947,MCSF,Cd14Pos_Monocyte,72h,,,Mac_Mono
IL7@Condition:CD19+ B cells@E-MEXP-2878.MicroArray.HG-U133_Plus_2,IL7,Cd19+ B,,,,Bcell
IL4@Condition:CD25- T cell&Duration:10d@GSE24634.MicroArray.HG-U133A,IL4,Cd25- T,10d,,,Tcell
IL4@Condition:CD25- T cell&Duration:3d@GSE24634.MicroArray.HG-U133A,IL4,Cd25- T,3d,,,Tcell
IL4@Condition:CD25- T cell&Duration:5d@GSE24634.MicroArray.HG-U133A,IL4,Cd25- T,5d,,,Tcell
IL4@Condition:CD25- T cell&Duration:7d@GSE24634.MicroArray.HG-U133A,IL4,Cd25- T,7d,,,Tcell
IL4@Condition:CD25+ T cell&Duration:10d@GSE24634.MicroArray.HG-U133A,IL4,Cd25+ T,10d,,,Tcell
IL4@Condition:CD25+ T cell&Duration:3d@GSE24634.MicroArray.HG-U133A,IL4,Cd25+ T,3d,,,Tcell
IL4@Condition:CD25+ T cell&Duration:5d@GSE24634.MicroArray.HG-U133A,IL4,Cd25+ T,5d,,,Tcell
IL4@Condition:CD25+ T cell&Duration:7d@GSE24634.MicroArray.HG-U133A,IL4,Cd25+ T,7d,,,Tcell
IFNB@Condition:DC@GSE131990.RNASeq.SRP199919_GRCh38,IFNB,Dc,,,,DC
IFNG@Condition:DC@GSE131990.RNASeq.SRP199919_GRCh38,IFNG,Dc,,,,DC
IFNL@Condition:DC@GSE131990.RNASeq.SRP199919_GRCh38,IFNL,Dc,,,,DC
IL10@Condition:DC@GSE131990.RNASeq.SRP199919_GRCh38,IL10,Dc,,,,DC
IL13@Condition:DC@GSE131990.RNASeq.SRP199919_GRCh38,IL13,Dc,,,,DC
IL4@Condition:DC@GSE131990.RNASeq.SRP199919_GRCh38,IL4,Dc,,,,DC
IFNB@Condition:Dendritic@GSE54970.MicroArray.HG-U133_Plus_2,IFNB,Dendritic,,,,DC
IFNG&Dose:100 u/m@Condition:Dendritic@E-MTAB-1326.MicroArray.SAMHD1_and_IFN_human_cells,IFNG,Dendritic,,100U/m,,DC
IL10@Condition:Dendritic&Duration:12h@GSE45466.MicroArray.GPL10558,IL10,Dendritic,12h,,,DC
IL17A@Condition:dendritic cells@GSE53163.MicroArray.HG-U133_Plus_2,IL17A,Dendritic,,,,DC
IL6@Condition:Dendritic&Duration:12h@GSE45466.MicroArray.GPL10558,IL6,Dendritic,12h,,,DC
TNFA&Dose:20 ng/mL@Condition:dendritic cells&Duration:6h@GSE59237.MicroArray.HG-U133_Plus_2,TNFA,Dendritic,6h,20ng/mL,,DC
TSLP&Dose:20 ng/uL@Condition:dendritic cells&Duration:6h@GSE59237.MicroArray.HG-U133_Plus_2,TSLP,Dendritic,6h,20ng/uL,,DC
IFNA@Condition:Endothelial@GSE3920.MicroArray.GPL96,IFNA,Endothelial,,,,Endothelial
IFNB@Condition:Endothelial@GSE3920.MicroArray.GPL96,IFNB,Endothelial,,,,Endothelial
IFNG@Condition:Endothelial@GSE3920.MicroArray.GPL96,IFNG,Endothelial,,,,Endothelial
IL1B@Condition:Endothelial cells@GSE96962.RNASeq.SRP102361_GRCh38,IL1B,Endothelial,,,,Endothelial
TNFA@Condition:Endothelial@GSE6257.MicroArray.HG-U133_Plus_2,TNFA,Endothelial,,,,Endothelial
TNFA@Condition:Endothelial cells@GSE96962.RNASeq.SRP102361_GRCh38,TNFA,Endothelial,,,,Endothelial
VEGFA&Dose:50ng/ml_Duration:30min@Condition:endothelial cell@GSE93590.RNASeq.SRP096716_GRCh38,VEGFA,Endothelial,30m,50ng/mL,,Endothelial
TNFA@Condition:Endothelium@GSE53999.MicroArray.GPL16043,TNFA,Endothelium,,,,Endothelial
GMCSF@Condition:Eosinophil@GSE128027.RNASeq.SRP187898_GRCh38,GMCSF,Eosinophil,,,,Granulocyte
IL3@Condition:Eosinophil@GSE128027.RNASeq.SRP187898_GRCh38,IL3,Eosinophil,,,,Granulocyte
IL5@Condition:Eosinophil@GSE128027.RNASeq.SRP187898_GRCh38,IL5,Eosinophil,,,,Granulocyte
IL5@Condition:eosinophils@GSE75142.MicroArray.GPL17077,IL5,Eosinophils,,,,Granulocyte
AREG&Dose:100.0ng/ml@Condition:epithelial cell@E-MTAB-2091.MicroArray.HG-U133_Plus_2,AREG,Epithelial,,100ng/mL,,Epithelial
CNTF&Dose:200.0ng/ml@Condition:epithelial cell@E-MTAB-2091.MicroArray.HG-U133_Plus_2,CNTF,Epithelial,,200ng/mL,,Epithelial
EGF&Dose:100.0ng/ml@Condition:epithelial cell@E-MTAB-2091.MicroArray.HG-U133_Plus_2,EGF,Epithelial,,100ng/mL,,Epithelial
FGF8&Dose:100.0ng/ml@Condition:epithelial cell@E-MTAB-2091.MicroArray.HG-U133_Plus_2,FGF8,Epithelial,,100ng/mL,,Epithelial
HBEGF&Dose:50.0ng/ml@Condition:epithelial cell@E-MTAB-2091.MicroArray.HG-U133_Plus_2,HBEGF,Epithelial,,50ng/mL,,Epithelial
IFNB@Condition:Epithelial&Duration:96h@GSE106782.MicroArray.GPL10558,IFNB,Epithelial,96h,,,Epithelial
IGF2&Dose:100.0ng/ml@Condition:epithelial cell@E-MTAB-2091.MicroArray.HG-U133_Plus_2,IGF2,Epithelial,,100ng/mL,,Epithelial
IL10@Condition:epithelial cell@GSE78095.MicroArray.GPL17077,IL10,Epithelial,,,,Epithelial
IL13@Condition:Epithelial&Duration:21d@GSE37693.MicroArray.GPL6947,IL13,Epithelial,21d,,,Epithelial
INS&Dose:1722.0ng/ml@Condition:epithelial cell@E-MTAB-2091.MicroArray.HG-U133_Plus_2,INS,Epithelial,,1722ng/mL,,Epithelial
NTF3&Dose:200.0ng/ml@Condition:epithelial cell@E-MTAB-2091.MicroArray.HG-U133_Plus_2,NTF3,Epithelial,,200ng/mL,,Epithelial
PDGFB&Dose:50.0ng/ml@Condition:epithelial cell@E-MTAB-2091.MicroArray.HG-U133_Plus_2,PDGFB,Epithelial,,50ng/mL,,Epithelial
TGFA&Dose:200.0ng/ml@Condition:epithelial cell@E-MTAB-2091.MicroArray.HG-U133_Plus_2,TGFA,Epithelial,,200ng/mL,,Epithelial
IL1B&Dose:20 ng/ml@Condition:epithelium of bronchus&Duration:4h@E-MTAB-7992.MicroArray.HG-U133_Plus_2,IL1B,Epithelium Of Bronchus,4h,20ng/mL,Lung_Epithelial,Epithelial
IL1B&Dose:40 ng/ml@Condition:epithelium of bronchus&Duration:4h@E-MTAB-7992.MicroArray.HG-U133_Plus_2,IL1B,Epithelium Of Bronchus,4h,40ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:20 ng/ml@Condition:epithelium of bronchus&Duration:4h@E-MTAB-7992.MicroArray.HG-U133_Plus_2,TNFA,Epithelium Of Bronchus,4h,20ng/mL,Lung_Epithelial,Epithelial
TNFA&Dose:40 ng/ml@Condition:epithelium of bronchus&Duration:4h@E-MTAB-7992.MicroArray.HG-U133_Plus_2,TNFA,Epithelium Of Bronchus,4h,40ng/mL,Lung_Epithelial,Epithelial
IL21&Dose:20 ng/ml_Duration:30min@Condition:Expanded NK cells@GSE129044.RNASeq.SRP189872_GRCh38,IL21,Expanded Nk,30m,20ng/mL,,NK
IL2&Dose:100u/ml_Duration:24h@Condition:FACS purified Tregs@GSE49817.MicroArray.HuGene-1_0-st-v1,IL2,Facs Purified Tregs,24h,100U/mL,,Tcell
IFNA@Condition:Fibroblast@GSE117637.RNASeq.SRP155182_GRCh38,IFNA,Fibroblast,,,,Fibroblast
IFNA@Condition:Fibroblast@GSE3920.MicroArray.GPL96,IFNA,Fibroblast,,,,Fibroblast
IFNA&Dose:10^5 IU/ml_Duration:2h@Condition:Fibroblast@GSE38652.MicroArray.GPL10558,IFNA,Fibroblast,2h,10^5IU/mL,,Fibroblast
IFNA&Dose:10^5 IU/ml_Duration:8h@Condition:Fibroblast@GSE38652.MicroArray.GPL10558,IFNA,Fibroblast,8h,10^5IU/mL,,Fibroblast
IFNA@Condition:Fibroblast@GSE41960.MicroArray.PrimeView,IFNA,Fibroblast,,,,Fibroblast
IFNA@Condition:Fibroblast&Duration:24 h@GSE24125.MicroArray.GPL10913,IFNA,Fibroblast,24h,,,Fibroblast
